ENTREZ,Sample,CellType,Rep,counts,count_total
350,CD34_1,CD34,1,204,307
351,CD34_1,CD34,1,15586,26580
353,CD34_1,CD34,1,842,2471
355,CD34_1,CD34,1,123,569
356,CD34_1,CD34,1,1,2
357,CD34_1,CD34,1,380,560
358,CD34_1,CD34,1,572,7445
359,CD34_1,CD34,1,0,13
360,CD34_1,CD34,1,320,1982
361,CD34_1,CD34,1,0,1
362,CD34_1,CD34,1,3,19
363,CD34_1,CD34,1,14,25
364,CD34_1,CD34,1,7,8
366,CD34_1,CD34,1,6,7
367,CD34_1,CD34,1,42,94
369,CD34_1,CD34,1,1204,3549
372,CD34_1,CD34,1,2829,8205
373,CD34_1,CD34,1,179,1850
374,CD34_1,CD34,1,76,221
375,CD34_1,CD34,1,4428,20423
377,CD34_1,CD34,1,3170,6071
378,CD34_1,CD34,1,1839,11426
379,CD34_1,CD34,1,178,360
381,CD34_1,CD34,1,1617,3689
382,CD34_1,CD34,1,2874,8553
383,CD34_1,CD34,1,63,2456
384,CD34_1,CD34,1,148,11337
387,CD34_1,CD34,1,8899,19989
388,CD34_1,CD34,1,12598,17929
389,CD34_1,CD34,1,2709,5220
390,CD34_1,CD34,1,1004,1399
391,CD34_1,CD34,1,1038,2955
392,CD34_1,CD34,1,1527,2688
393,CD34_1,CD34,1,2949,4630
394,CD34_1,CD34,1,1525,3185
395,CD34_1,CD34,1,348,538
396,CD34_1,CD34,1,6503,12097
397,CD34_1,CD34,1,12997,24710
399,CD34_1,CD34,1,223,658
400,CD34_1,CD34,1,1188,2197
402,CD34_1,CD34,1,504,1298
403,CD34_1,CD34,1,289,484
405,CD34_1,CD34,1,1481,4121
406,CD34_1,CD34,1,295,592
407,CD34_1,CD34,1,4,8
408,CD34_1,CD34,1,2451,4091
409,CD34_1,CD34,1,2480,5881
410,CD34_1,CD34,1,433,922
411,CD34_1,CD34,1,829,1618
412,CD34_1,CD34,1,312,512
414,CD34_1,CD34,1,516,936
415,CD34_1,CD34,1,20,33
416,CD34_1,CD34,1,2,7
419,CD34_1,CD34,1,6,20
420,CD34_1,CD34,1,141,2588
421,CD34_1,CD34,1,213,769
427,CD34_1,CD34,1,4699,19243
429,CD34_1,CD34,1,0,2
430,CD34_1,CD34,1,34,69
432,CD34_1,CD34,1,63,119
433,CD34_1,CD34,1,38,64
434,CD34_1,CD34,1,1,4
435,CD34_1,CD34,1,408,877
440,CD34_1,CD34,1,157,3323
443,CD34_1,CD34,1,5,9
444,CD34_1,CD34,1,1583,2495
445,CD34_1,CD34,1,116,222
460,CD34_1,CD34,1,34,102
462,CD34_1,CD34,1,70,102
463,CD34_1,CD34,1,1244,1925
466,CD34_1,CD34,1,538,1629
467,CD34_1,CD34,1,2506,5056
468,CD34_1,CD34,1,7991,21313
471,CD34_1,CD34,1,1272,3488
472,CD34_1,CD34,1,1389,2894
473,CD34_1,CD34,1,4173,7633
475,CD34_1,CD34,1,284,868
476,CD34_1,CD34,1,4952,14023
477,CD34_1,CD34,1,13,44
478,CD34_1,CD34,1,78,266
479,CD34_1,CD34,1,17,21
480,CD34_1,CD34,1,9,26
481,CD34_1,CD34,1,1937,3006
482,CD34_1,CD34,1,157,3284
483,CD34_1,CD34,1,1075,5459
486,CD34_1,CD34,1,47,65
487,CD34_1,CD34,1,29,84
488,CD34_1,CD34,1,4529,8841
489,CD34_1,CD34,1,3465,6814
490,CD34_1,CD34,1,1610,4451
491,CD34_1,CD34,1,12,17
492,CD34_1,CD34,1,4,10
493,CD34_1,CD34,1,5011,12392
350,ORTHO_1,ORTHO,1,0,307
351,ORTHO_1,ORTHO,1,479,26580
353,ORTHO_1,ORTHO,1,355,2471
355,ORTHO_1,ORTHO,1,291,569
356,ORTHO_1,ORTHO,1,1,2
357,ORTHO_1,ORTHO,1,3,560
358,ORTHO_1,ORTHO,1,2225,7445
359,ORTHO_1,ORTHO,1,12,13
360,ORTHO_1,ORTHO,1,502,1982
361,ORTHO_1,ORTHO,1,1,1
362,ORTHO_1,ORTHO,1,1,19
363,ORTHO_1,ORTHO,1,6,25
364,ORTHO_1,ORTHO,1,0,8
366,ORTHO_1,ORTHO,1,0,7
367,ORTHO_1,ORTHO,1,0,94
369,ORTHO_1,ORTHO,1,1034,3549
372,ORTHO_1,ORTHO,1,1864,8205
373,ORTHO_1,ORTHO,1,728,1850
374,ORTHO_1,ORTHO,1,5,221
375,ORTHO_1,ORTHO,1,6697,20423
377,ORTHO_1,ORTHO,1,314,6071
378,ORTHO_1,ORTHO,1,4845,11426
379,ORTHO_1,ORTHO,1,1,360
381,ORTHO_1,ORTHO,1,574,3689
382,ORTHO_1,ORTHO,1,2265,8553
383,ORTHO_1,ORTHO,1,1632,2456
384,ORTHO_1,ORTHO,1,10977,11337
387,ORTHO_1,ORTHO,1,2457,19989
388,ORTHO_1,ORTHO,1,171,17929
389,ORTHO_1,ORTHO,1,193,5220
390,ORTHO_1,ORTHO,1,0,1399
391,ORTHO_1,ORTHO,1,577,2955
392,ORTHO_1,ORTHO,1,304,2688
393,ORTHO_1,ORTHO,1,138,4630
394,ORTHO_1,ORTHO,1,464,3185
395,ORTHO_1,ORTHO,1,67,538
396,ORTHO_1,ORTHO,1,702,12097
397,ORTHO_1,ORTHO,1,410,24710
399,ORTHO_1,ORTHO,1,11,658
400,ORTHO_1,ORTHO,1,147,2197
402,ORTHO_1,ORTHO,1,218,1298
403,ORTHO_1,ORTHO,1,25,484
405,ORTHO_1,ORTHO,1,824,4121
406,ORTHO_1,ORTHO,1,175,592
407,ORTHO_1,ORTHO,1,1,8
408,ORTHO_1,ORTHO,1,111,4091
409,ORTHO_1,ORTHO,1,1819,5881
410,ORTHO_1,ORTHO,1,197,922
411,ORTHO_1,ORTHO,1,217,1618
412,ORTHO_1,ORTHO,1,45,512
414,ORTHO_1,ORTHO,1,15,936
415,ORTHO_1,ORTHO,1,0,33
416,ORTHO_1,ORTHO,1,1,7
419,ORTHO_1,ORTHO,1,5,20
420,ORTHO_1,ORTHO,1,1136,2588
421,ORTHO_1,ORTHO,1,255,769
427,ORTHO_1,ORTHO,1,11889,19243
429,ORTHO_1,ORTHO,1,0,2
430,ORTHO_1,ORTHO,1,13,69
432,ORTHO_1,ORTHO,1,0,119
433,ORTHO_1,ORTHO,1,0,64
434,ORTHO_1,ORTHO,1,1,4
435,ORTHO_1,ORTHO,1,151,877
440,ORTHO_1,ORTHO,1,2520,3323
443,ORTHO_1,ORTHO,1,0,9
444,ORTHO_1,ORTHO,1,151,2495
445,ORTHO_1,ORTHO,1,15,222
460,ORTHO_1,ORTHO,1,0,102
462,ORTHO_1,ORTHO,1,0,102
463,ORTHO_1,ORTHO,1,118,1925
466,ORTHO_1,ORTHO,1,480,1629
467,ORTHO_1,ORTHO,1,402,5056
468,ORTHO_1,ORTHO,1,6132,21313
471,ORTHO_1,ORTHO,1,771,3488
472,ORTHO_1,ORTHO,1,628,2894
473,ORTHO_1,ORTHO,1,783,7633
475,ORTHO_1,ORTHO,1,83,868
476,ORTHO_1,ORTHO,1,3453,14023
477,ORTHO_1,ORTHO,1,3,44
478,ORTHO_1,ORTHO,1,121,266
479,ORTHO_1,ORTHO,1,0,21
480,ORTHO_1,ORTHO,1,5,26
481,ORTHO_1,ORTHO,1,18,3006
482,ORTHO_1,ORTHO,1,1392,3284
483,ORTHO_1,ORTHO,1,1454,5459
486,ORTHO_1,ORTHO,1,0,65
487,ORTHO_1,ORTHO,1,33,84
488,ORTHO_1,ORTHO,1,1118,8841
489,ORTHO_1,ORTHO,1,153,6814
490,ORTHO_1,ORTHO,1,1263,4451
491,ORTHO_1,ORTHO,1,1,17
492,ORTHO_1,ORTHO,1,0,10
493,ORTHO_1,ORTHO,1,3585,12392
350,CD34_2,CD34,2,103,307
351,CD34_2,CD34,2,10476,26580
353,CD34_2,CD34,2,1188,2471
355,CD34_2,CD34,2,139,569
356,CD34_2,CD34,2,0,2
357,CD34_2,CD34,2,177,560
358,CD34_2,CD34,2,597,7445
359,CD34_2,CD34,2,1,13
360,CD34_2,CD34,2,46,1982
361,CD34_2,CD34,2,0,1
362,CD34_2,CD34,2,15,19
363,CD34_2,CD34,2,4,25
364,CD34_2,CD34,2,1,8
366,CD34_2,CD34,2,1,7
367,CD34_2,CD34,2,51,94
369,CD34_2,CD34,2,833,3549
372,CD34_2,CD34,2,2741,8205
373,CD34_2,CD34,2,148,1850
374,CD34_2,CD34,2,138,221
375,CD34_2,CD34,2,4970,20423
377,CD34_2,CD34,2,2576,6071
378,CD34_2,CD34,2,1767,11426
379,CD34_2,CD34,2,181,360
381,CD34_2,CD34,2,1159,3689
382,CD34_2,CD34,2,1746,8553
383,CD34_2,CD34,2,40,2456
384,CD34_2,CD34,2,118,11337
387,CD34_2,CD34,2,7405,19989
388,CD34_2,CD34,2,5090,17929
389,CD34_2,CD34,2,2313,5220
390,CD34_2,CD34,2,395,1399
391,CD34_2,CD34,2,1176,2955
392,CD34_2,CD34,2,786,2688
393,CD34_2,CD34,2,1540,4630
394,CD34_2,CD34,2,1062,3185
395,CD34_2,CD34,2,123,538
396,CD34_2,CD34,2,4723,12097
397,CD34_2,CD34,2,11265,24710
399,CD34_2,CD34,2,422,658
400,CD34_2,CD34,2,806,2197
402,CD34_2,CD34,2,496,1298
403,CD34_2,CD34,2,166,484
405,CD34_2,CD34,2,1004,4121
406,CD34_2,CD34,2,87,592
407,CD34_2,CD34,2,2,8
408,CD34_2,CD34,2,1523,4091
409,CD34_2,CD34,2,1356,5881
410,CD34_2,CD34,2,215,922
411,CD34_2,CD34,2,441,1618
412,CD34_2,CD34,2,138,512
414,CD34_2,CD34,2,396,936
415,CD34_2,CD34,2,13,33
416,CD34_2,CD34,2,4,7
419,CD34_2,CD34,2,2,20
420,CD34_2,CD34,2,94,2588
421,CD34_2,CD34,2,93,769
427,CD34_2,CD34,2,1729,19243
429,CD34_2,CD34,2,2,2
430,CD34_2,CD34,2,22,69
432,CD34_2,CD34,2,55,119
433,CD34_2,CD34,2,26,64
434,CD34_2,CD34,2,2,4
435,CD34_2,CD34,2,284,877
440,CD34_2,CD34,2,111,3323
443,CD34_2,CD34,2,4,9
444,CD34_2,CD34,2,747,2495
445,CD34_2,CD34,2,90,222
460,CD34_2,CD34,2,68,102
462,CD34_2,CD34,2,31,102
463,CD34_2,CD34,2,492,1925
466,CD34_2,CD34,2,393,1629
467,CD34_2,CD34,2,2130,5056
468,CD34_2,CD34,2,5307,21313
471,CD34_2,CD34,2,1392,3488
472,CD34_2,CD34,2,739,2894
473,CD34_2,CD34,2,1901,7633
475,CD34_2,CD34,2,467,868
476,CD34_2,CD34,2,4202,14023
477,CD34_2,CD34,2,26,44
478,CD34_2,CD34,2,67,266
479,CD34_2,CD34,2,4,21
480,CD34_2,CD34,2,11,26
481,CD34_2,CD34,2,1017,3006
482,CD34_2,CD34,2,75,3284
483,CD34_2,CD34,2,1789,5459
486,CD34_2,CD34,2,18,65
487,CD34_2,CD34,2,19,84
488,CD34_2,CD34,2,2925,8841
489,CD34_2,CD34,2,3188,6814
490,CD34_2,CD34,2,913,4451
491,CD34_2,CD34,2,4,17
492,CD34_2,CD34,2,6,10
493,CD34_2,CD34,2,3053,12392
350,ORTHO_2,ORTHO,2,0,307
351,ORTHO_2,ORTHO,2,39,26580
353,ORTHO_2,ORTHO,2,86,2471
355,ORTHO_2,ORTHO,2,16,569
356,ORTHO_2,ORTHO,2,0,2
357,ORTHO_2,ORTHO,2,0,560
358,ORTHO_2,ORTHO,2,4051,7445
359,ORTHO_2,ORTHO,2,0,13
360,ORTHO_2,ORTHO,2,1114,1982
361,ORTHO_2,ORTHO,2,0,1
362,ORTHO_2,ORTHO,2,0,19
363,ORTHO_2,ORTHO,2,1,25
364,ORTHO_2,ORTHO,2,0,8
366,ORTHO_2,ORTHO,2,0,7
367,ORTHO_2,ORTHO,2,1,94
369,ORTHO_2,ORTHO,2,478,3549
372,ORTHO_2,ORTHO,2,771,8205
373,ORTHO_2,ORTHO,2,795,1850
374,ORTHO_2,ORTHO,2,2,221
375,ORTHO_2,ORTHO,2,4328,20423
377,ORTHO_2,ORTHO,2,11,6071
378,ORTHO_2,ORTHO,2,2975,11426
379,ORTHO_2,ORTHO,2,0,360
381,ORTHO_2,ORTHO,2,339,3689
382,ORTHO_2,ORTHO,2,1668,8553
383,ORTHO_2,ORTHO,2,721,2456
384,ORTHO_2,ORTHO,2,94,11337
387,ORTHO_2,ORTHO,2,1228,19989
388,ORTHO_2,ORTHO,2,70,17929
389,ORTHO_2,ORTHO,2,5,5220
390,ORTHO_2,ORTHO,2,0,1399
391,ORTHO_2,ORTHO,2,164,2955
392,ORTHO_2,ORTHO,2,71,2688
393,ORTHO_2,ORTHO,2,3,4630
394,ORTHO_2,ORTHO,2,134,3185
395,ORTHO_2,ORTHO,2,0,538
396,ORTHO_2,ORTHO,2,169,12097
397,ORTHO_2,ORTHO,2,38,24710
399,ORTHO_2,ORTHO,2,2,658
400,ORTHO_2,ORTHO,2,56,2197
402,ORTHO_2,ORTHO,2,80,1298
403,ORTHO_2,ORTHO,2,4,484
405,ORTHO_2,ORTHO,2,812,4121
406,ORTHO_2,ORTHO,2,35,592
407,ORTHO_2,ORTHO,2,1,8
408,ORTHO_2,ORTHO,2,6,4091
409,ORTHO_2,ORTHO,2,226,5881
410,ORTHO_2,ORTHO,2,77,922
411,ORTHO_2,ORTHO,2,131,1618
412,ORTHO_2,ORTHO,2,17,512
414,ORTHO_2,ORTHO,2,9,936
415,ORTHO_2,ORTHO,2,0,33
416,ORTHO_2,ORTHO,2,0,7
419,ORTHO_2,ORTHO,2,7,20
420,ORTHO_2,ORTHO,2,1217,2588
421,ORTHO_2,ORTHO,2,208,769
427,ORTHO_2,ORTHO,2,926,19243
429,ORTHO_2,ORTHO,2,0,2
430,ORTHO_2,ORTHO,2,0,69
432,ORTHO_2,ORTHO,2,1,119
433,ORTHO_2,ORTHO,2,0,64
434,ORTHO_2,ORTHO,2,0,4
435,ORTHO_2,ORTHO,2,34,877
440,ORTHO_2,ORTHO,2,535,3323
443,ORTHO_2,ORTHO,2,0,9
444,ORTHO_2,ORTHO,2,14,2495
445,ORTHO_2,ORTHO,2,1,222
460,ORTHO_2,ORTHO,2,0,102
462,ORTHO_2,ORTHO,2,1,102
463,ORTHO_2,ORTHO,2,71,1925
466,ORTHO_2,ORTHO,2,218,1629
467,ORTHO_2,ORTHO,2,18,5056
468,ORTHO_2,ORTHO,2,1883,21313
471,ORTHO_2,ORTHO,2,53,3488
472,ORTHO_2,ORTHO,2,138,2894
473,ORTHO_2,ORTHO,2,776,7633
475,ORTHO_2,ORTHO,2,34,868
476,ORTHO_2,ORTHO,2,1416,14023
477,ORTHO_2,ORTHO,2,2,44
478,ORTHO_2,ORTHO,2,0,266
479,ORTHO_2,ORTHO,2,0,21
480,ORTHO_2,ORTHO,2,1,26
481,ORTHO_2,ORTHO,2,34,3006
482,ORTHO_2,ORTHO,2,1660,3284
483,ORTHO_2,ORTHO,2,1141,5459
486,ORTHO_2,ORTHO,2,0,65
487,ORTHO_2,ORTHO,2,3,84
488,ORTHO_2,ORTHO,2,269,8841
489,ORTHO_2,ORTHO,2,8,6814
490,ORTHO_2,ORTHO,2,665,4451
491,ORTHO_2,ORTHO,2,0,17
492,ORTHO_2,ORTHO,2,0,10
493,ORTHO_2,ORTHO,2,743,12392
